epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
75,13633.2,0.94883,0.42826,0.88842,0.89494,0.8671,0.93893,0.60817,1.18506,0.52876,0.99642,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13807.5,0.94873,0.42767,0.88817,0.89359,0.86833,0.93887,0.60805,1.18571,0.5287,0.9967,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,13982.5,0.9452,0.42591,0.88615,0.89333,0.86892,0.93892,0.60802,1.18612,0.52857,0.99685,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14157,0.94205,0.42459,0.88705,0.89348,0.86896,0.93888,0.60793,1.18663,0.52865,0.99711,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14331.5,0.94173,0.42461,0.88498,0.89279,0.86965,0.93882,0.60768,1.18685,0.52855,0.99727,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14506,0.93665,0.42281,0.8851,0.89328,0.86955,0.93887,0.6075,1.18713,0.52839,0.99741,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14694.1,0.93082,0.42105,0.88345,0.89364,0.86863,0.93878,0.60731,1.18753,0.52869,0.99762,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,14869.7,0.93005,0.42011,0.8838,0.89334,0.86971,0.93892,0.60729,1.18793,0.52844,0.9978,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15044.1,0.9274,0.41795,0.88243,0.89416,0.86867,0.93893,0.60774,1.18831,0.52844,0.99799,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15218.6,0.92574,0.41738,0.88165,0.89379,0.86948,0.93897,0.60729,1.18895,0.52828,0.99825,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15395.7,0.9224,0.41579,0.88138,0.8939,0.86977,0.93911,0.60757,1.18937,0.52794,0.9984,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15571.6,0.9185,0.41456,0.8801,0.89397,0.8695,0.93903,0.60705,1.18988,0.5277,0.99858,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,15746.2,0.91857,0.41433,0.88066,0.89361,0.86982,0.9391,0.60672,1.19019,0.5275,0.99878,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,15921.1,0.91341,0.41208,0.87886,0.89459,0.86925,0.93911,0.60667,1.19063,0.52773,0.99892,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16094.9,0.91165,0.4118,0.87856,0.89447,0.86938,0.93915,0.60631,1.19094,0.52755,0.9991,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16269.5,0.90685,0.4096,0.87784,0.89445,0.8694,0.93911,0.6061,1.19137,0.52751,0.99928,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,16519.6,0.86457,0.37952,0.86893,0.89442,0.86982,0.93915,0.606,1.19209,0.52711,0.9996,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,16686,0.85044,0.37462,0.86533,0.89425,0.87017,0.93918,0.60588,1.19281,0.52743,0.99997,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,16851.7,0.84466,0.37147,0.86531,0.8948,0.86959,0.939,0.60571,1.19338,0.52718,1.00029,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17016.9,0.8406,0.37,0.86249,0.89562,0.86902,0.93891,0.60537,1.19383,0.52727,1.00059,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,17181.3,0.83546,0.36808,0.86163,0.89698,0.86798,0.93874,0.60523,1.19463,0.52707,1.00099,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,17345.9,0.83019,0.36554,0.85986,0.89686,0.86812,0.93873,0.60504,1.19525,0.52722,1.00131,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,17510.7,0.82784,0.365,0.85988,0.89684,0.86814,0.93867,0.60484,1.19587,0.52741,1.00167,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,17675.1,0.82276,0.36305,0.85783,0.89763,0.86746,0.93849,0.60464,1.19651,0.52725,1.00196,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,17839.8,0.82035,0.36183,0.85781,0.89819,0.86742,0.93861,0.60452,1.19696,0.5274,1.00228,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,18004.1,0.81661,0.35981,0.85641,0.89742,0.8679,0.93853,0.60409,1.19783,0.52742,1.00275,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
